stn,date,temperature,wind_speed,precipitation
744860,11/4/2020,48.9,8.2,0
725030,11/3/2020,47.3,15.7,0
744860,11/3/2020,46.8,19.2,0
725030,11/2/2020,45.3,19.8,0.43
744860,11/2/2020,44.4,19.6,0.61
725030,11/1/2020,50.4,8.7,0
744860,11/1/2020,50.3,11.1,0
725030,10/31/2020,40.4,5.6,0.22
744860,10/31/2020,39.4,6.4,0.18
725030,10/30/2020,43.6,14.3,1.99
744860,10/30/2020,43.7,15.4,1.45
725030,10/29/2020,54.8,10,0.11
744860,10/29/2020,53.9,9.4,0.1
725030,10/28/2020,55.8,4.8,0.05
744860,10/28/2020,55,4.6,0.04
725030,10/27/2020,57.8,5.6,0.03
744860,10/27/2020,58.2,5,0.06
725030,10/26/2020,54.6,8.8,0.02
744860,10/26/2020,54.3,8.4,0.07
725030,10/25/2020,51.3,10.6,0
744860,10/25/2020,50.3,9.5,0
725030,10/24/2020,65.3,7.4,0
744860,10/24/2020,64,6.8,0
725030,10/23/2020,66.2,5,0
744860,10/23/2020,64.3,4.7,0.01
725030,10/22/2020,66.8,2.6,0
744860,10/22/2020,64.3,3.3,0
725030,10/21/2020,65,5.5,0
744860,10/21/2020,62.7,3.8,0.01
725030,10/20/2020,64.2,4.9,0.01
744860,10/20/2020,62,4.7,0
725030,10/19/2020,59.4,5,0
744860,10/19/2020,56.8,6.6,0
725030,10/18/2020,56.8,4.5,0.03
744860,10/18/2020,52.9,7.5,0.15
725030,10/17/2020,53.8,8.9,1.46
744860,10/17/2020,52.5,9.1,1.69
725030,10/16/2020,61,8.4,0
744860,10/16/2020,60.2,11,0
725030,10/15/2020,64.9,9.8,0
744860,10/15/2020,61.8,11.5,0
725030,10/14/2020,61.1,8.1,0.13
744860,10/14/2020,59.3,9.9,0.06
725030,10/13/2020,57.2,14.8,0.9
744860,10/13/2020,57.7,13.8,0.88
725030,10/12/2020,55.8,14.9,0.19
744860,10/12/2020,54.7,13.5,0.3
725030,10/11/2020,67.2,9.1,0
744860,10/11/2020,65.7,9.4,0
725030,10/10/2020,66,10.1,0
744860,10/10/2020,63.6,11.2,0
725030,10/9/2020,61,5.8,0
744860,10/9/2020,58.2,6.3,0
725030,10/8/2020,61.9,14,0.02
744860,10/8/2020,61.8,15.2,0
725030,10/7/2020,67.6,10.9,0
744860,10/7/2020,65.9,14.5,0
725030,10/6/2020,64.3,6.2,0
744860,10/6/2020,61.9,6.2,0.07
725030,10/5/2020,62.4,6.3,0
744860,10/5/2020,60.6,6.5,0
725030,10/4/2020,60.7,6.9,0
744860,10/4/2020,58.4,5.7,0
725030,10/3/2020,61.6,7.5,0.01
744860,10/3/2020,59.9,8.4,0.04
725030,10/2/2020,63.6,7.4,0.02
744860,10/2/2020,62.6,7.8,0
725030,10/1/2020,67.3,8.7,0.88
744860,10/1/2020,65.8,11.2,0.45
725030,9/30/2020,68.9,13.5,1.19
744860,9/30/2020,68.1,15.6,0.58
725030,9/29/2020,71.7,8.4,0.02
744860,9/29/2020,69.7,9.7,0.04
725030,9/28/2020,73.6,10.1,0.04
744860,9/28/2020,71.1,11.8,0.1
725030,9/27/2020,72.6,5.4,0
744860,9/27/2020,70.6,3.9,0
725030,9/26/2020,71,6.5,0
744860,9/26/2020,67.8,6,0
725030,9/25/2020,71.4,4.2,0
744860,9/25/2020,66.5,5.7,0
725030,9/24/2020,72.8,4.9,0
744860,9/24/2020,67.3,4.5,0
725030,9/23/2020,69.8,10.7,0
744860,9/23/2020,68.4,11.1,0
725030,9/22/2020,62.8,9,0
744860,9/22/2020,59.7,9.7,0
725030,9/21/2020,59.3,8,0
744860,9/21/2020,56,8.3,0
725030,9/20/2020,58.6,11,0
744860,9/20/2020,56.5,10.2,0
725030,9/19/2020,59.1,11.6,0
744860,9/19/2020,58.2,13.6,0
725030,9/18/2020,68.8,10.1,0
744860,9/18/2020,67.9,10.5,0.04
725030,9/17/2020,71.2,7,0
744860,9/17/2020,68.9,7.9,0
725030,9/16/2020,65.7,6.6,0
744860,9/16/2020,62.8,6.6,0
725030,9/15/2020,62.2,9.4,0
744860,9/15/2020,60.9,9.6,0
725030,9/14/2020,74.3,10.9,0
744860,9/14/2020,72.9,10.8,0
725030,9/13/2020,69.7,8.1,0
744860,9/13/2020,67,8.5,0
725030,9/12/2020,68.4,9.4,0
744860,9/12/2020,65.8,9.5,0
725030,9/11/2020,75.9,6.7,0.96
744860,9/11/2020,73.8,7.5,1.36
725030,9/10/2020,78.2,6.2,0.53
744860,9/10/2020,75.3,5.7,0
725030,9/9/2020,75.4,5.7,0
744860,9/9/2020,72.6,4.7,0
725030,9/8/2020,76,6.1,0
744860,9/8/2020,72,4.8,0
725030,9/7/2020,75.4,8.2,0
744860,9/7/2020,72,7.7,0
725030,9/6/2020,75.8,7.7,0
744860,9/6/2020,71.7,9.7,0
725030,9/5/2020,75.5,5.8,0
744860,9/5/2020,72.4,6.9,0
725030,9/4/2020,78.7,7.8,1.16
744860,9/4/2020,77.7,8.6,0.51
725030,9/3/2020,79.9,6.2,0.04
744860,9/3/2020,78,8.5,0.01
725030,9/2/2020,74.8,8,0.01
744860,9/2/2020,73.3,8.3,0.06
725030,9/1/2020,73.7,7.4,0.18
744860,9/1/2020,72.4,9.2,0.2
725030,8/31/2020,72,7,0
744860,8/31/2020,69.3,5.8,0
725030,8/30/2020,76.5,13.2,0.01
744860,8/30/2020,74.9,12.6,0.09
725030,8/29/2020,77.8,8.1,0.02
744860,8/29/2020,74.2,9.3,0.04
725030,8/28/2020,80.2,7.9,0.38
744860,8/28/2020,76.8,9.3,0.63
725030,8/27/2020,80.5,8,0.05
744860,8/27/2020,77.1,8.2,0.06
725030,8/26/2020,75.6,12.1,0.36
744860,8/26/2020,74.7,12.9,0.08
725030,8/25/2020,84.8,8.7,0
744860,8/25/2020,82.7,11.7,0
725030,8/24/2020,84.1,6.5,0
744860,8/24/2020,78.7,6.8,0
725030,8/23/2020,82,6.7,0
744860,8/23/2020,76.4,7.6,0
725030,8/22/2020,82.2,7.4,0
744860,8/22/2020,77.5,10.4,0
725030,8/21/2020,78,9,0
744860,8/21/2020,73.8,10.2,0
725030,8/20/2020,74.2,5,0.13
744860,8/20/2020,70.9,5.4,0.34
725030,8/19/2020,74,4.8,0.01
744860,8/19/2020,71.4,4.5,0.01
725030,8/18/2020,75.2,6.8,0.97
744860,8/18/2020,73.1,8.6,0.13
725030,8/17/2020,73.3,7.9,0.1
744860,8/17/2020,70.5,9.6,0.29
725030,8/16/2020,71.9,12.9,0.03
744860,8/16/2020,70.4,11.9,0
725030,8/15/2020,78.4,8.8,0
744860,8/15/2020,75.9,7.9,0
725030,8/14/2020,79.3,7.2,0.11
744860,8/14/2020,78.6,7.3,0
725030,8/13/2020,78.9,5.3,1.49
744860,8/13/2020,77.3,3.4,0.01
725030,8/12/2020,82.7,6.5,0
744860,8/12/2020,78.4,7.4,0.5
725030,8/11/2020,84.6,8.5,0
744860,8/11/2020,77.6,9,0
725030,8/10/2020,84.7,7.2,0
744860,8/10/2020,79.1,9.6,0
725030,8/9/2020,79.8,7.1,0
744860,8/9/2020,75.5,8.3,0
725030,8/8/2020,76.7,4.8,0.22
744860,8/8/2020,74.2,4.2,0.27
725030,8/7/2020,75.7,6.7,0.22
744860,8/7/2020,73.2,5.6,0.12
725030,8/6/2020,78.8,6.1,0
744860,8/6/2020,74.9,5.2,0
725030,8/5/2020,82.4,7.9,0.27
744860,8/5/2020,77.5,9,0.12
725030,8/4/2020,78.6,14,0.53
744860,8/4/2020,76.8,16.2,0.13
725030,8/3/2020,86.1,9.9,0
744860,8/3/2020,81.2,12.3,0
725030,8/2/2020,82.4,11.4,0
744860,8/2/2020,79.6,12.5,0
725030,8/1/2020,81.4,5.5,0.56
744860,8/1/2020,77.7,5.4,0.17
725030,7/31/2020,78,5.9,0.57
744860,7/31/2020,75.7,6.8,0.9
725030,7/30/2020,87.1,6.2,0
744860,7/30/2020,81.2,9,0
725030,7/29/2020,84.5,7,0
744860,7/29/2020,82.4,7.6,0
725030,7/28/2020,89.9,10.3,0
744860,7/28/2020,85.6,11.2,0
725030,7/27/2020,90,8.9,0
744860,7/27/2020,85.2,10.5,0
725030,7/26/2020,86.9,8.5,0
744860,7/26/2020,82.4,10.9,0
725030,7/25/2020,82,4.4,0.26
744860,7/25/2020,77.8,5.3,0.24
725030,7/24/2020,79.5,6.4,0.05
744860,7/24/2020,76.7,6.1,0.16
725030,7/23/2020,81.1,8.2,0.79
744860,7/23/2020,77.2,10,0.53
725030,7/22/2020,84.5,6.8,0.05
744860,7/22/2020,81,6.3,0.16
725030,7/21/2020,87.1,7.2,0
744860,7/21/2020,84.7,7.8,0
725030,7/20/2020,88.7,7.8,0
744860,7/20/2020,84.8,9.9,0
725030,7/19/2020,87.1,8.5,0
744860,7/19/2020,80,9.2,0
725030,7/18/2020,82.5,5.3,0.02
744860,7/18/2020,79.7,4.9,0.06
725030,7/17/2020,75.9,8.2,0.02
744860,7/17/2020,73.2,9.6,0.04
725030,7/16/2020,75.1,8.8,0
744860,7/16/2020,72.5,9.2,0
725030,7/15/2020,77.3,7.8,0
744860,7/15/2020,75.1,7.3,0
725030,7/14/2020,81.1,9,0
744860,7/14/2020,80.3,10,0
725030,7/13/2020,83,7.4,0.05
744860,7/13/2020,80.5,8.7,0
725030,7/12/2020,82.4,9,0.04
744860,7/12/2020,80.2,12.9,0.04
725030,7/11/2020,79.6,12,2.47
744860,7/11/2020,75.7,14.5,2.33
725030,7/10/2020,76.9,11.8,0
744860,7/10/2020,76.1,11.4,0
725030,7/9/2020,83.1,7.1,0.01
744860,7/9/2020,78.2,7.9,0.02
725030,7/8/2020,81,7.6,0
744860,7/8/2020,77.9,9.5,0
725030,7/7/2020,75.3,9.1,0.05
744860,7/7/2020,74.6,9.4,0.03
725030,7/6/2020,83.9,5.9,0
744860,7/6/2020,79.7,5.8,0
725030,7/5/2020,81.2,7.5,0
744860,7/5/2020,77,8.7,0
725030,7/4/2020,75.9,7.4,0.36
744860,7/4/2020,73.7,8,0.42
725030,7/3/2020,84,6.5,0
744860,7/3/2020,82.3,6.4,0
725030,7/2/2020,80,5.1,0
744860,7/2/2020,75.3,5.6,0.06
725030,7/1/2020,74.3,5.4,0
744860,7/1/2020,71.5,4.7,0
725030,6/30/2020,74.1,6.7,0.07
744860,6/30/2020,72.8,7.2,0.02
725030,6/29/2020,79.1,7.2,0.02
744860,6/29/2020,77.4,8.6,0.52
725030,6/28/2020,81.9,4.3,0.25
744860,6/28/2020,77.2,7.3,0.25
725030,6/27/2020,80.5,7.3,0
744860,6/27/2020,74.7,7.9,0
725030,6/26/2020,79.9,7.3,0
744860,6/26/2020,75.6,9.2,0
725030,6/25/2020,81.1,8.2,0
744860,6/25/2020,77.1,8.3,0
725030,6/24/2020,80.5,9.4,0
744860,6/24/2020,78.4,10.8,0
725030,6/23/2020,81.4,9.6,0
744860,6/23/2020,74.9,10.4,0
725030,6/22/2020,82.1,6.5,0
744860,6/22/2020,76.1,9.6,0
725030,6/21/2020,79.4,5.7,0
744860,6/21/2020,73.3,7.1,0
725030,6/20/2020,78.2,6.6,0
744860,6/20/2020,71.2,6.5,0
725030,6/19/2020,74.5,6.8,0
744860,6/19/2020,69.3,6.2,0
725030,6/18/2020,70.1,7.1,0
744860,6/18/2020,67,6.6,0
725030,6/17/2020,70,8.7,0
744860,6/17/2020,66.6,7.9,0
725030,6/16/2020,69.8,6.9,0
744860,6/16/2020,65.7,8.2,0
725030,6/15/2020,68,7.8,0
744860,6/15/2020,64,6.9,0
725030,6/14/2020,65,8.7,0
744860,6/14/2020,63.3,9.6,0
725030,6/13/2020,70.9,8.6,0
744860,6/13/2020,68.2,8.8,0
725030,6/12/2020,77.9,6.8,0.05
744860,6/12/2020,71.5,7.5,0.77
725030,6/11/2020,73.8,10.5,0
744860,6/11/2020,68.3,17,0
725030,6/10/2020,77.6,9.9,0
744860,6/10/2020,71.5,8.4,0
725030,6/9/2020,78.6,6.6,0
744860,6/9/2020,70.5,10,0
725030,6/8/2020,71.4,6.1,0
744860,6/8/2020,68.4,9.5,0
725030,6/7/2020,72.8,11.1,0.1
744860,6/7/2020,71.8,13.2,0.16
725030,6/6/2020,77.4,6.8,0.11
744860,6/6/2020,72.2,7.4,0.46
725030,6/5/2020,75,7.2,0.31
744860,6/5/2020,69.6,9.4,0.43
725030,6/4/2020,77.2,5.5,0.12
744860,6/4/2020,72,7,0.28
725030,6/3/2020,72.6,9,0.07
744860,6/3/2020,68.7,9.9,0.27
725030,6/2/2020,68.4,6.3,0
744860,6/2/2020,64.4,7.9,0
725030,6/1/2020,62,10.8,0
744860,6/1/2020,60.1,10.7,0
725030,5/31/2020,67.4,13.3,0
744860,5/31/2020,66.4,13,0
725030,5/30/2020,72.7,9.2,0.01
744860,5/30/2020,69.2,10.5,0
725030,5/29/2020,71.6,9.1,0
744860,5/29/2020,65.8,12.2,0
725030,5/28/2020,68.4,9.1,0
744860,5/28/2020,63.9,7.4,0.01
725030,5/27/2020,66.6,6.9,0
744860,5/27/2020,61.5,5.5,0
725030,5/26/2020,64.9,5.6,0
744860,5/26/2020,61.2,3.9,0
725030,5/25/2020,60.4,8.7,0.01
744860,5/25/2020,59.8,6.2,0
725030,5/24/2020,58.6,12.1,0.33
744860,5/24/2020,57.3,10.4,0.52
725030,5/23/2020,63.2,7.1,0.01
744860,5/23/2020,62,5.5,0.01
725030,5/22/2020,63.7,6,0
744860,5/22/2020,60,4.5,0
725030,5/21/2020,55.5,6.7,0
744860,5/21/2020,52.5,6.6,0
725030,5/20/2020,57.1,11.5,0
744860,5/20/2020,54.9,12.6,0
725030,5/19/2020,60.4,14.8,0
744860,5/19/2020,60.1,14.5,0
725030,5/18/2020,59.4,7.5,0
744860,5/18/2020,58.6,8.8,0
725030,5/17/2020,61.4,9.2,0
744860,5/17/2020,57.9,7.9,0
725030,5/16/2020,71.8,10.1,0.03
744860,5/16/2020,68,10.6,0.02
725030,5/15/2020,70.3,9,0.01
744860,5/15/2020,62.6,9.5,0.03
725030,5/14/2020,56.7,6.5,0
744860,5/14/2020,52.3,6.8,0
725030,5/13/2020,52.3,10.8,0
744860,5/13/2020,50.6,11.2,0
725030,5/12/2020,51,16.1,0.1
744860,5/12/2020,50.8,16,0.03
725030,5/11/2020,55.7,9.9,0
744860,5/11/2020,52.3,10,0
725030,5/10/2020,50.3,14.1,0.03
744860,5/10/2020,49.1,17.1,0.03
725030,5/9/2020,42.2,18.1,0.41
744860,5/9/2020,41.7,18.3,0.35
725030,5/8/2020,53.1,8.1,0
744860,5/8/2020,52.6,9.6,0
725030,5/7/2020,54.6,7.1,0.03
744860,5/7/2020,52.5,8.4,0.02
725030,5/6/2020,51.7,9.4,0
744860,5/6/2020,49.3,8.5,0
725030,5/5/2020,53.7,12.6,0
744860,5/5/2020,53,14.5,0
725030,5/4/2020,67.1,10.5,0
744860,5/4/2020,63.3,10.2,0.01
725030,5/3/2020,67.5,8.9,0.03
744860,5/3/2020,61.5,9.9,0.11
725030,5/2/2020,61.8,10.6,0.14
744860,5/2/2020,61.6,13.2,0.12
725030,5/1/2020,58.3,9.7,0.73
744860,5/1/2020,55.1,9.1,0.3
725030,4/30/2020,54.7,15.1,0.23
744860,4/30/2020,52.3,20.7,0.18
725030,4/29/2020,51.1,9,0
744860,4/29/2020,48.2,9,0
725030,4/28/2020,50.7,9.4,0
744860,4/28/2020,48.9,11.1,0
725030,4/27/2020,44.9,12.5,0.07
744860,4/27/2020,44.2,15.1,0.17
725030,4/26/2020,49.1,12.7,0
744860,4/26/2020,48.5,10.6,0
